"id";"nome";"cidade_id";"regional_id";"territorio_id"
"1";"AARÃO REIS";"2302";"6";"18"
"2";"ACABA MUNDO";"2302";"2";"8"
"3";"ACAIACA";"2302";"4";"19"
"4";"ADEMAR MALDONADO";"2302";"1";"2"
"5";"AEROPORTO";"2302";"8";"35"
"6";"ALÍPIO DE MELO";"2302";"8";"36"
"7";"ALPES";"2302";"7";"30"
"8";"ALTO BARROCA";"2302";"7";"28"
"9";"ALTO CAIÇARAS";"2302";"5";"25"
"10";"ALTO DOS PINHEIROS";"2302";"5";"27"
"11";"ALTO VERA CRUZ";"2302";"3";"14"
"12";"ÁLVARO CAMARGOS";"2302";"5";"26"
"13";"ANCHIETA";"2302";"2";"7"
"14";"ANDIROBA";"2302";"4";"21"
"15";"ANTÔNIO RIBEIRO DE ABREU";"2302";"4";"19"
"16";"APARECIDA";"2302";"5";"24"
"17";"APARECIDA SÉTIMA SEÇÃO";"2302";"5";"24"
"18";"ÁPIA";"2302";"2";"10"
"19";"APOLÔNIA";"2302";"9";"40"
"20";"ARAGUAIA";"2302";"1";"4"
"21";"ÁTILA DE PAIVA";"2302";"1";"2"
"22";"BAIRRO DAS INDÚSTRIAS I";"2302";"1";"1"
"23";"BAIRRO DAS INDÚSTRIAS II";"2302";"7";"29"
"24";"BAIRRO NOVO DAS INDÚSTRIAS";"2302";"1";"1"
"25";"BALEIA";"2302";"2";"8"
"27";"BANDEIRANTES";"2302";"8";"34"
"28";"BARÃO HOMEM DE MELO III";"2302";"7";"30"
"29";"BARREIRO";"2302";"1";"2"
"30";"BARRO PRETO";"2302";"2";"6"
"31";"BEIJA FLOR";"2302";"4";"19"
"32";"BEIRA-LINHA";"2302";"4";"19"
"33";"BELMONTE";"2302";"4";"19"
"34";"BELVEDERE";"2302";"2";"7"
"35";"BERNADETE";"2302";"1";"1"
"36";"BETÂNIA";"2302";"7";"31"
"37";"BOA ESPERANÇA";"2302";"4";"19"
"38";"BOA VIAGEM";"2302";"2";"6"
"39";"BOA VISTA";"2302";"3";"11"
"40";"BOM JESUS";"2302";"5";"24"
"41";"BONFIM";"2302";"5";"24"
"42";"BONSUCESSO";"2302";"1";"1"
"43";"BRASIL INDUSTRIAL";"2302";"1";"4"
"44";"BRAÚNAS";"2302";"8";"33"
"45";"BURITIS";"2302";"7";"32"
"46";"CABANA DO PAI TOMÁS";"2302";"7";"29"
"47";"CACHOEIRINHA";"2302";"4";"22"
"48";"CAIÇARA-ADELAIDE";"2302";"5";"25"
"49";"CAIÇARAS";"2302";"5";"25"
"50";"CALAFATE";"2302";"7";"28"
"51";"CALIFÓRNIA";"2302";"5";"26"
"52";"CAMARGOS";"2302";"7";"29"
"53";"CAMPO ALEGRE";"2302";"6";"17"
"54";"CAMPUS UFMG";"2302";"8";"35"
"55";"CANAÃ";"2302";"9";"37"
"56";"CANDELÁRIA";"2302";"9";"39"
"57";"CAPITÃO EDUARDO";"2302";"4";"19"
"58";"CARDOSO";"2302";"1";"4"
"59";"CARLOS PRATES";"2302";"2";"6"
"61";"CARMO";"2302";"2";"7"
"62";"CASA BRANCA";"2302";"3";"11"
"63";"CASTANHEIRA";"2302";"1";"5"
"64";"CASTELO";"2302";"8";"34"
"65";"CDI JATOBÁ";"2302";"1";"5"
"66";"CENÁCULO";"2302";"9";"37"
"67";"CENTRO";"2302";"2";"6"
"68";"CÉU AZUL";"2302";"8";"33"
"70";"CIDADE JARDIM";"2302";"2";"9"
"71";"CIDADE JARDIM TAQUARIL";"2302";"3";"14"
"72";"CIDADE NOVA";"2302";"4";"23"
"73";"CINQUENTENÁRIO";"2302";"7";"31"
"74";"COLÉGIO BATISTA";"2302";"3";"12"
"75";"COMITECO";"2302";"2";"7"
"76";"CONCÓRDIA";"2302";"4";"22"
"77";"CONFISCO";"2302";"8";"36"
"78";"CONJUNTO CALIFÓRNIA I";"2302";"5";"26"
"79";"CONJUNTO CALIFÓRNIA II";"2302";"5";"26"
"80";"CONJUNTO CAPITÃO EDUARDO";"2302";"4";"19"
"81";"CONJUNTO CELSO MACHADO";"2302";"8";"36"
"82";"CONJUNTO JARDIM FILADÉLFIA";"2302";"5";"26"
"83";"CONJUNTO JATOBÁ";"2302";"1";"5"
"84";"CONJUNTO LAGOA";"2302";"8";"34"
"85";"CONJUNTO MINASCAIXA";"2302";"9";"37"
"86";"CONJUNTO PAULO VI";"2302";"4";"19"
"87";"CONJUNTO PROVIDÊNCIA";"2302";"6";"18"
"88";"CONJUNTO SANTA MARIA";"2302";"2";"10"
"89";"CONJUNTO SERRA VERDE";"2302";"9";"37"
"90";"CONJUNTO TAQUARIL";"2302";"3";"14"
"91";"COPACABANA";"2302";"8";"33"
"93";"COQUEIROS";"2302";"5";"26"
"94";"CORAÇÃO DE JESUS";"2302";"2";"9"
"95";"CORAÇÃO EUCARÍSTICO";"2302";"5";"27"
"96";"CRUZEIRO";"2302";"2";"7"
"97";"DIAMANTE";"2302";"1";"2"
"98";"DISTRITO INDUSTRIAL DO JATOBÁ";"2302";"1";"5"
"99";"DOM BOSCO";"2302";"5";"26"
"100";"DOM CABRAL";"2302";"5";"27"
"101";"DOM JOAQUIM";"2302";"4";"21"
"102";"DOM SILVÉRIO";"2302";"4";"19"
"103";"DONA CLARA";"2302";"8";"35"
"104";"ENGENHO NOGUEIRA";"2302";"8";"34"
"105";"ERMELINDA";"2302";"5";"24"
"106";"ERNESTO DO NASCIMENTO";"2302";"1";"5"
"107";"ESPERANÇA";"2302";"1";"4"
"108";"ESPLANADA";"2302";"3";"13"
"109";"ESTORIL";"2302";"7";"32"
"111";"ESTRELA";"2302";"2";"10"
"112";"ESTRELA DO ORIENTE";"2302";"7";"31"
"113";"ETELVINA CARNEIRO";"2302";"6";"15"
"114";"EUROPA";"2302";"9";"37"
"115";"EYMARD";"2302";"4";"21"
"116";"FAZENDINHA";"2302";"2";"8"
"117";"FERNÃO DIAS";"2302";"4";"21"
"118";"FLÁVIO DE OLIVEIRA";"2302";"1";"4"
"119";"FLÁVIO MARQUES LISBOA";"2302";"1";"4"
"120";"FLORAMAR";"2302";"6";"17"
"121";"FLORESTA";"2302";"2";"6"
"123";"FUNCIONÁRIOS";"2302";"2";"6"
"124";"GAMELEIRA";"2302";"7";"29"
"125";"GARÇAS";"2302";"8";"33"
"126";"GLÓRIA";"2302";"5";"26"
"127";"GOIÂNIA";"2302";"4";"20"
"128";"GRAÇA";"2302";"4";"23"
"129";"GRAJAÚ";"2302";"7";"28"
"130";"GRANJA DE FREITAS";"2302";"3";"14"
"131";"GRANJA WERNECK";"2302";"6";"16"
"132";"GUARANI";"2302";"6";"18"
"133";"GUARATÃ";"2302";"7";"29"
"134";"GUTIERREZ";"2302";"7";"28"
"135";"HAVAÍ";"2302";"7";"31"
"136";"HELIÓPOLIS";"2302";"6";"17"
"137";"HORTO";"2302";"3";"12"
"138";"HORTO FLORESTAL";"2302";"3";"12"
"141";"IMBAÚBAS";"2302";"7";"29"
"142";"INCONFIDÊNCIA";"2302";"5";"26"
"144";"INDAIÁ";"2302";"8";"35"
"145";"INDEPENDÊNCIA";"2302";"1";"5"
"146";"IPÊ";"2302";"4";"21"
"147";"IPIRANGA";"2302";"4";"23"
"148";"ITAIPU";"2302";"1";"3"
"149";"ITAPOÃ";"2302";"8";"33"
"150";"JAQUELINE";"2302";"6";"15"
"151";"JARAGUÁ";"2302";"8";"35"
"152";"JARDIM ALVORADA";"2302";"8";"36"
"153";"JARDIM AMERICA";"2302";"7";"28"
"154";"JARDIM ATLÂNTICO";"2302";"8";"33"
"155";"JARDIM DOS COMERCIÁRIOS";"2302";"9";"38"
"156";"JARDIM FELICIDADE";"2302";"6";"16"
"157";"JARDIM GUANABARA";"2302";"6";"17"
"158";"JARDIM LEBLON";"2302";"9";"40"
"159";"JARDIM MONTANHÊS";"2302";"5";"25"
"160";"JARDIM SÃO JOSÉ";"2302";"8";"36"
"161";"JARDIM VITÓRIA";"2302";"4";"20"
"162";"JARDINÓPOLIS";"2302";"7";"29"
"163";"JATOBÁ";"2302";"1";"3"
"164";"JOÃO PINHEIRO";"2302";"5";"27"
"165";"JONAS VEIGA";"2302";"3";"13"
"166";"JULIANA";"2302";"6";"15"
"167";"LAGOA";"2302";"9";"40"
"168";"LAGOA DA PAMPULHA";"2302";"8";"34"
"170";"LAGOINHA";"2302";"4";"22"
"172";"LAGOINHA LEBLON";"2302";"9";"40"
"173";"LAJEDO";"2302";"6";"16"
"174";"LETÍCIA";"2302";"9";"39"
"176";"LIBERDADE";"2302";"8";"35"
"177";"LINDÉIA";"2302";"1";"3"
"178";"LOURDES";"2302";"2";"6"
"179";"LUXEMBURGO";"2302";"2";"9"
"180";"MADRE GERTRUDES";"2302";"7";"29"
"181";"MADRI";"2302";"6";"15"
"182";"MANGABEIRAS";"2302";"2";"7"
"185";"MANGUEIRAS";"2302";"1";"5"
"186";"MANTIQUEIRA";"2302";"9";"38"
"187";"MARAJÓ";"2302";"7";"31"
"188";"MARÇOLA";"2302";"2";"8"
"189";"MARIA GORETTI";"2302";"4";"21"
"190";"MARIA HELENA";"2302";"9";"38"
"191";"MARIA VIRGÍNIA";"2302";"4";"22"
"192";"MARIANO DE ABREU";"2302";"3";"11"
"193";"MARILÂNDIA";"2302";"1";"3"
"194";"MARIQUINHAS";"2302";"6";"15"
"195";"MILIONÁRIOS";"2302";"1";"1"
"196";"MINAS BRASIL";"2302";"5";"27"
"197";"MINASCAIXA";"2302";"9";"37"
"198";"MINASLÂNDIA";"2302";"6";"18"
"199";"MINEIRÃO";"2302";"1";"5"
"200";"MIRAMAR";"2302";"1";"4"
"201";"MONSENHOR MESSIAS";"2302";"5";"25"
"202";"MONTE AZUL";"2302";"6";"16"
"203";"MONTE SÃO JOSÉ";"2302";"2";"10"
"204";"NAZARÉ";"2302";"4";"19"
"205";"NOSSA SENHORA DA APARECIDA";"2302";"2";"8"
"206";"NOSSA SENHORA DA CONCEIÇÃO";"2302";"2";"8"
"207";"NOSSA SENHORA DE FÁTIMA";"2302";"2";"8"
"208";"NOSSA SENHORA DO ROSÁRIO";"2302";"2";"8"
"209";"NOVA CACHOEIRINHA";"2302";"5";"24"
"210";"NOVA CINTRA";"2302";"7";"29"
"211";"NOVA ESPERANÇA";"2302";"5";"24"
"212";"NOVA FLORESTA";"2302";"4";"23"
"213";"NOVA GAMELEIRA";"2302";"7";"29"
"214";"NOVA GRANADA";"2302";"7";"28"
"215";"NOVA SUISSA";"2302";"7";"28"
"216";"NOVA VISTA";"2302";"3";"11"
"217";"NOVO AARÃO REIS";"2302";"6";"16"
"218";"NOVO GLÓRIA";"2302";"5";"26"
"219";"NOVO SANTA CECÍLIA";"2302";"1";"4"
"220";"NOVO SÃO LUCAS";"2302";"2";"7"
"221";"NOVO TUPI";"2302";"6";"16"
"222";"OESTE";"2302";"5";"27"
"224";"OLARIA";"2302";"1";"5"
"225";"OLHOS D'ÁGUA";"2302";"1";"1"
"227";"OURO MINAS";"2302";"4";"19"
"228";"OURO PRETO";"2302";"8";"34"
"229";"PADRE EUSTÁQUIO";"2302";"5";"27"
"231";"PALMARES";"2302";"4";"23"
"232";"PALMEIRAS";"2302";"7";"31"
"233";"PAQUETÁ";"2302";"8";"34"
"234";"PARAÍSO";"2302";"3";"13"
"235";"PARQUE SÃO JOSÉ";"2302";"7";"31"
"236";"PARQUE SÃO PEDRO";"2302";"9";"37"
"237";"PAULO VI";"2302";"4";"19"
"238";"PEDREIRA PRADO LOPES";"2302";"5";"24"
"239";"PENHA";"2302";"4";"21"
"240";"PETRÓPOLIS";"2302";"1";"5"
"241";"PILAR";"2302";"1";"1"
"242";"PINDORAMA";"2302";"5";"26"
"243";"PIRAJÁ";"2302";"4";"21"
"244";"PIRATININGA";"2302";"9";"40"
"245";"PLANALTO";"2302";"6";"17"
"246";"POMPÉIA";"2302";"3";"13"
"247";"PONGELUPE";"2302";"1";"4"
"248";"POUSADA SANTO ANTÔNIO";"2302";"4";"20"
"249";"PRADO";"2302";"7";"28"
"250";"PRIMEIRO DE MAIO";"2302";"6";"18"
"251";"PROVIDÊNCIA";"2302";"6";"18"
"252";"RENASCENÇA";"2302";"4";"22"
"253";"RIBEIRO DE ABREU";"2302";"4";"19"
"255";"RIO BRANCO";"2302";"9";"39"
"256";"SAGRADA FAMÍLIA";"2302";"3";"12"
"257";"SALGADO FILHO";"2302";"7";"28"
"258";"SANTA AMÉLIA";"2302";"8";"33"
"259";"SANTA BRANCA";"2302";"8";"33"
"260";"SANTA CECÍLIA";"2302";"1";"5"
"261";"SANTA CRUZ";"2302";"4";"22"
"262";"SANTA EFIGÊNIA";"2302";"2";"6"
"264";"SANTA HELENA";"2302";"1";"2"
"265";"SANTA INÊS";"2302";"3";"11"
"266";"SANTA LÚCIA";"2302";"2";"9"
"268";"SANTA MARGARIDA";"2302";"1";"2"
"269";"SANTA MARIA";"2302";"7";"29"
"270";"SANTA MÔNICA";"2302";"8";"33"
"272";"SANTA RITA";"2302";"1";"5"
"273";"SANTA RITA DE CÁSSIA";"2302";"2";"10"
"274";"SANTA ROSA";"2302";"8";"35"
"275";"SANTA SOFIA";"2302";"7";"30"
"276";"SANTA TEREZA";"2302";"3";"12"
"277";"SANTA TEREZINHA";"2302";"8";"36"
"278";"SANTANA DO CAFEZAL";"2302";"2";"8"
"279";"SANTO AGOSTINHO";"2302";"2";"6"
"280";"SANTO ANDRÉ";"2302";"5";"24"
"281";"SANTO ANTÔNIO";"2302";"2";"9"
"282";"SÃO BENEDITO";"2302";"4";"20"
"283";"SÃO BENTO";"2302";"2";"9"
"284";"SÃO BERNARDO";"2302";"6";"17"
"285";"SÃO CRISTÓVÃO";"2302";"4";"22"
"287";"SÃO FRANCISCO";"2302";"8";"35"
"288";"SÃO FRANCISCO DAS CHAGAS";"2302";"5";"27"
"289";"SÃO GABRIEL";"2302";"4";"19"
"290";"SÃO GERALDO";"2302";"3";"11"
"291";"SÃO GONÇALO";"2302";"6";"18"
"292";"SÃO JOÃO";"2302";"1";"1"
"293";"SÃO JOÃO BATISTA";"2302";"9";"39"
"294";"SÃO JORGE II";"2302";"7";"30"
"295";"SÃO JORGE III";"2302";"7";"30"
"296";"SÃO JOSÉ";"2302";"8";"34"
"297";"SÃO LUCAS";"2302";"2";"7"
"298";"SÃO LUÍZ";"2302";"8";"34"
"299";"SÃO MARCOS";"2302";"4";"21"
"300";"SÃO PAULO";"2302";"4";"21"
"301";"SÃO PEDRO";"2302";"2";"9"
"302";"SÃO SALVADOR";"2302";"5";"26"
"303";"SÃO TOMÁZ";"2302";"6";"17"
"304";"SAUDADE";"2302";"3";"13"
"305";"SAVASSI";"2302";"2";"6"
"306";"SENHOR DOS PASSOS";"2302";"5";"24"
"307";"SERRA";"2302";"2";"7"
"309";"SERRA DO CURRAL";"2302";"1";"4"
"310";"SERRA VERDE";"2302";"9";"37"
"311";"SERRANO";"2302";"8";"36"
"312";"SILVEIRA";"2302";"4";"23"
"313";"SION";"2302";"2";"7"
"314";"SOLAR DO BARREIRO";"2302";"1";"4"
"315";"SOLIMÕES";"2302";"6";"16"
"316";"SUZANA";"2302";"8";"35"
"317";"TAQUARIL";"2302";"3";"14"
"318";"TEIXEIRA DIAS";"2302";"1";"2"
"319";"TIRADENTES";"2302";"4";"22"
"320";"TIROL";"2302";"1";"3"
"321";"TRÊS MARIAS";"2302";"4";"19"
"322";"TREVO";"2302";"8";"33"
"323";"TÚNEL DE IBIRITÉ";"2302";"1";"3"
"324";"TUPI A";"2302";"6";"16"
"325";"TUPI B";"2302";"6";"16"
"326";"UNIÃO";"2302";"4";"23"
"327";"UNIVERSO";"2302";"9";"40"
"328";"URCA";"2302";"8";"36"
"329";"VALE DO JATOBÁ";"2302";"1";"5"
"330";"VENDA NOVA";"2302";"9";"39"
"331";"VERA CRUZ";"2302";"3";"13"
"332";"VILA AEROPORTO";"2302";"6";"17"
"333";"VILA ANTENA";"2302";"7";"30"
"334";"VILA ANTENA MONTANHÊS";"2302";"8";"36"
"335";"VILA BANDEIRANTES";"2302";"2";"10"
"336";"VILA BARRAGEM SANTA LÚCIA";"2302";"2";"10"
"337";"VILA CALIFÓRNIA";"2302";"5";"26"
"338";"VILA CEMIG";"2302";"1";"4"
"339";"VILA CLÓRIS";"2302";"6";"17"
"341";"VILA COPACABANA";"2302";"9";"40"
"342";"VILA COQUEIRAL";"2302";"5";"26"
"343";"VILA DOS ANJOS";"2302";"9";"40"
"344";"VILA IPIRANGA";"2302";"4";"23"
"345";"VILA JARDIM MONTANHÊS";"2302";"8";"36"
"346";"VILA JARDIM SÃO JOSÉ";"2302";"8";"36"
"347";"VILA MADRE GERTRUDES I";"2302";"7";"29"
"348";"VILA MADRE GERTRUDES V";"2302";"7";"29"
"349";"VILA MANGUEIRAS";"2302";"1";"5"
"350";"VILA MARIA";"2302";"4";"20"
"351";"VILA NOVA GAMELEIRA I";"2302";"7";"29"
"352";"VILA NOVO SÃO LUCAS";"2302";"2";"8"
"353";"VILA PARIS";"2302";"2";"9"
"354";"VILA PINHO";"2302";"1";"5"
"355";"VILA PIRATININGA";"2302";"1";"3"
"356";"VILA PRIMEIRO DE MAIO";"2302";"6";"18"
"357";"VILA RICA";"2302";"8";"35"
"358";"VILA SANTA ROSA";"2302";"8";"35"
"359";"VILA SÃO GERALDO";"2302";"3";"11"
"360";"VILA SÃO JOÃO BATISTA";"2302";"9";"39"
"361";"VILA SÃO PAULO";"2302";"4";"21"
"362";"VILA SÃO RAFAEL";"2302";"3";"13"
"363";"VILA SUMARÉ";"2302";"5";"24"
"364";"VILA SUZANA I";"2302";"8";"35"
"365";"VILA TRINTA E UM DE MARÇO";"2302";"5";"26"
"366";"VILA UNIÃO";"2302";"3";"13"
"367";"VILA VISTA ALEGRE";"2302";"7";"29"
"368";"VISTA ALEGRE";"2302";"7";"29"
"369";"VISTA DO SOL";"2302";"4";"19"
"370";"VITÓRIA";"2302";"4";"20"
"371";"XODÓ-MARIZE";"2302";"6";"15"
"372";"ZILAH SPÓSITO";"2302";"6";"15"
